RRI	RRI+e	RRI+g	RRI+M	Ideal-Replication
17301062	23394045	23370344	35942120	36141216
17326046	23108852	22554540	34679871	35856790
17409391	23494126	23749076	35987054	36125588
17171986	23400883	23539076	36003509	36115633
17184628	23134476	22967048	35648831	36081388
17194376	23298048	23470206	35977460	36227552
17392402	23397231	23201145	35951578	36270375
17368604	23232781	22813726	35941112	36286800
17163371	23388070	22836097	35869009	35909427
16911216	23408036	22882813	35897787	36109830
17063853	23443877	23823738	36017086	35964366
17256416	23368286	22863863	35843321	36124935
17343292	22977054	23158816	36013350	36125379
17353259	23433395	23496864	35964780	35904605
17333774	23527219	23350066	36014219	36077508
17342753	23631460	23370317	34547469	36165593
17353955	23386232	23246828	35957499	36012741
17314770	23478096	23604429	35916792	35983234
17266355	23257057	23455061	35981668	36269691
17310034	23414498	23186798	35979933	35809385
17309770	23248044	23820657	35537246	35925863
17317792	23422039	23823341	35494133	36120264
17287686	23485717	23814910	35820916	35758511
17297455	23439223	23552526	36026597	36025196
17251272	23418441	23764552	36031102	36147866
17387055	23554751	23721381	35940169	35798117
17331343	23503038	23579583	35823752	36139061
17416663	23446917	23540118	36017683	36009032
17323510	23511664	23605315	35977370	36042140
17396220	23474982	23746144	35910614	36098268
17378356	23540622	23083913	36013260	36011820
17318455	23486439	23761965	35976399	36067736
17305687	23480577	23577999	36015750	36100705
17363824	23424991	23756332	35954047	35639950
17314506	23517420	23671580	36075582	36025144
17289838	23423800	23709076	35955844	35833316
17335111	23424788	23030362	35990124	36139845
17293471	23063698	23364000	36024871	36163566
17377332	23384772	23515031	36026480	36049208
17323627	23426890	23145008	35944704	35151337
17370550	23488999	23705451	34819571	36183887
17404855	23358793	23325758	35805141	35805025
17359565	23550635	23750532	35916263	36164285
17301954	23376212	23428564	35953931	35943063
17403847	23433466	23806241	35906359	36211272
17392015	23603766	23747520	36055213	35996511
17344537	23143310	23741318	35969101	36189885
17395518	23275116	22660229	35925811	35914147
17317198	23358913	23778741	36037633	36199999
17312485	23591871	23642992	35929296	36048961
17372629	23425556	23842153	36013493	36313668
17327965	23519539	23666628	36001889	36075075
17385562	23552515	23796028	36040919	36164651
17332984	23551583	22627562	35987469	35852368
17405252	22968652	23613648	35420134	36190579
17396202	23499293	23709115	35689952	35825819
17417051	23398660	23541376	35983506	36182133
17307535	23538428	23747317	36004870	35859812
17097354	23508176	23826724	35890675	36118516
17307194	23395140	23773942	36044712	35855106
17302376	23464192	23277678	35899630	35943140
17061416	23372365	23792019	35965491	35035178
